Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
631660,Immersion Chess,Immersion,Immersion,"15 May, 2017",Free to Play,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Casual;Free to Play;Sports;Strategy,;English
348860,MyDream,"MyDream Interactive, Inc","MyDream Interactive, Inc","20 Feb, 2015",Free to Play,,;oculus,;controller;vr_input_kbm,;seated;standing,;Action;Adventure;Casual;Free to Play;Indie;RPG,;English
1057420,Earthshakers,"Kaleido, Inc.","Kaleido, Inc.","22 Apr, 2019",Free To Play,,;valveindex;htc,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Action;Free to Play;Indie,;English;Korean
1095060,Jar Wars,FarCade,FarCade,"25 Feb, 2020",Free,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Free to Play;Indie,;English
251890,World of Diving,Vertigo Games,Vertigo Games,"26 Aug, 2014","¥ 1,980",,;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Adventure;Indie;Simulation;Early Access,;English
765460,Atoms,视趣互动,视趣互动,"8 Feb, 2018","¥ 3,090",,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Strategy,;English;Simplified Chinese
586110,Sansar,Wookey Project Corp,Wookey Project Corp,"5 Dec, 2018",Free To Play,,;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Casual;Free to Play;Massively Multiplayer;Early Access,;English
233610,Distance,Refract,Refract,"18 Sep, 2018","¥ 2,570",,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Action;Indie;Racing,;English
1960620,4d Chess,Ricky Robot,Ricky Robot,Apr 2022,,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Strategy,;English
398180,Euclidean,Alpha Wave Entertainment,AAD Productions,"25 Sep, 2015",¥ 498,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Action;Casual;Indie,;English;Spanish - Spain;Italian;French;German
641910,Bike Rush,Axyos Games,Axyos Games,"15 Jan, 2018",,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated,;Action;Casual;Indie;Racing;Simulation,;English;Russian;German;French;Italian;Spanish - Spain
422630,Metaverse Construction Kit,Metaware,Metaware,"6 Dec, 2015",Free to Play,,;valveindex;htc,;vr_input_motion,;roomscale,;Casual;Free to Play;Indie;Simulation,;English
955580,Rise: Race The Future,VD-dev,VD-dev,"1 Nov, 2018","¥ 1,640",,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated,;Racing,;English;French;Italian;German;Spanish - Spain
402260,Dead Secret,Robot Invader,Robot Invader,"28 Mar, 2016","¥ 1,480",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Adventure;Indie,;English
1256380,FPS Infinite,Phr00t's Software,Phr00t's Software,"16 Mar, 2020",Free,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie,;English
510080,Worldy Cup,Tommosaur,Tommosaur,"10 Aug, 2016",¥ 498,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Action;Indie;Sports;Early Access,;English
509380,Mech Ace Combat - Trainer Edition,Area 1,Area 1,Dec 2017,,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Action;Casual;Indie,;English
1749980,Somni,Antler,Antler,"9 Oct, 2021","¥ 1,010",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;roomscale,;Action;Indie;Simulation;Early Access,;English
327880,Sublevel Zero Redux,Sigtrap,Sigtrap,"8 Oct, 2015","¥ 1,480",,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Action;Indie,;English;French;Italian;German;Spanish - Spain;Russian
842140,Kitten'd,Star Vault AB,Star Vault AB,"20 Jun, 2019","¥ 1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Adventure;Casual;Simulation,;English;Spanish - Spain;Swedish;Polish;Simplified Chinese;German;Russian;Japanese;French
1518940,Conductor: Creative Joy Engine,Club Transcendia,Club Transcendia,"26 Mar, 2022",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Casual;Free to Play;Indie;Simulation,;English
379420,Polynomial 2 - Universe of the Music,Dmytry Lavrov,Dmytry Lavrov,"31 May, 2016","¥ 1,180",,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Action;Indie;Simulation;Early Access,;English
465780,New Retro Arcade: Neon,Digital Cybercherries,Digital Cybercherries,"19 Nov, 2019",FREE DEMO - Try before you buy!,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Action;Adventure;Casual;Indie;Racing;Simulation;Sports,;English
