Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
569370,Bitdude,Will Mearns,Wicked Manatee Games,"6 Jan, 2016",Free,,;oculus,;controller,;standing,;Casual;Free to Play;Indie,;English
1381720,OUBEY VR – Reise der Monaden,Kubikfoto GmbH,Kubikfoto GmbH,"11 Aug, 2020",Free,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Free to Play;Indie,;English;German
786390,Purgatory Fell,Martian Games,Insanely Virtual,"30 Mar, 2018",¥820,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Adventure,;English
465450,iOMoon,Headtrip Games llc,Headtrip Games llc,"27 Apr, 2016",¥598,,;valveindex;htc;oculus,;controller,;seated;standing,;Action;Adventure;Indie;Simulation;Early Access,;English
766650,D.R.I.L.L.,dfree,VR-Reel Media,"23 Jan, 2018",Free To Play,,;valveindex;htc,;vr_input_motion,;standing,;Action;Free to Play;Sports;Early Access,;English
611090,Boofle's Home,Eden Agency,Eden Agency,"21 Feb, 2017",Free,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Casual;Free to Play;Simulation,;English
1806420,Do U Copy?,Freaks United,Freaks United,"9 Dec, 2021","¥1,320",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Casual;Strategy;Early Access,;English
698260,Star Shelter,Overflow,Overflow,"12 Oct, 2017","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Action;Adventure;Indie;RPG;Simulation,;English
715350,DeadlandVR : Action Shooter FPS,Khizar Awan,Spur Arts,"2 Apr, 2019","¥1,010",,;valveindex;htc;oculus,;vr_input_motion,;standing,;Action;Adventure;Casual;Indie;Simulation;Strategy,;English
831590,VRQ Test,Vectorush,Vectorush,"11 Apr, 2018",Free,,;valveindex;htc,;vr_input_motion,;seated;standing,;Casual;Free to Play;Simulation,;English;Simplified Chinese
1206080,Zombie World Coronavirus Apocalypse VR,Smartmove,Smartmove,"3 Apr, 2020","¥1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated;standing;roomscale,;Action;Adventure;Indie,;English
594360,Sort 'Em,PeanutButter VR,PeanutButter VR,"1 Mar, 2017",¥298,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Casual;Indie;Simulation;Early Access,;English
619600,Wrecked: Get Your Ship Together,Business Mouse Studios,Business Mouse Studios,"13 Apr, 2017",Free,,;valveindex;htc,;vr_input_motion,;roomscale,;Action;Free to Play,;English
923820,尸狱末日 Dead Prison,Axe Studio,"Guangzhou Dingxiang Cyber Technology Co.,Ltd.","11 Sep, 2018",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;standing;roomscale,;Action;Casual;Indie;RPG,;English;Simplified Chinese;Korean
1114460,Paranormal Detective: Escape from the 80's,LunaBeat,LunaBeat,"12 Dec, 2019","¥1,010",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;Simulation,;English
459170,Discovr™ Egypt: King Tut's Tomb,Discovr Labs,Discovr Labs,"11 Apr, 2016",Free to Play,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Adventure;Casual;Indie,;English
906770,TITAN SLAYER Ⅱ,"COLOPL, Inc.","COLOPL, Inc.","20 Feb, 2019","¥3,090",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action,;English;Traditional Chinese;Japanese
939000,Crisis VRigade,Sumalab,Sumalab,"19 Sep, 2018","¥1,010",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Casual;Indie,;English
1250300,Orders of Magnitude,Ouroboro Soft Inc.,Ouroboro Soft Inc.,"30 Mar, 2020",¥930,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Indie;Simulation;Early Access,;English
1499550,VR Luxury Life (Be a Billionaire),William at Oxford,William at Oxford,"29 Dec, 2020",,,;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Casual;Simulation,;English;French;Italian;German;Spanish - Spain;Russian;Turkish;Japanese;Polish;Thai;Simplified Chinese;Traditional Chinese;Portuguese;Arabic;Korean
1938230,Liminality,Bezbro Games,Bezbro Games,TBD,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Adventure,;English
606920,EXA: The Infinite Instrument,Aesthetic Interactive,Aesthetic Interactive,"14 Jan, 2020","¥1,480",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;Audio Production,;English
517670,Cowbots and Aliens,Wizard Games Inc,Wizard Games Inc,"7 Nov, 2016","¥1,220",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Adventure;Casual;Indie;Early Access,;English
682960,Purgation,Arttu Tuovinen,Michael Callaghan,"6 Oct, 2017",Free,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Indie,;English
845900,Awake: Episode One,Start VR,New Canvas,"5 Dec, 2018",¥820,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Casual;Indie,;English;Simplified Chinese
1578960,VAR: Exterminate,VAR LIVE International Ltd,VAR LIVE International Ltd,"16 May, 2021","¥1,515",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing,;Action;Adventure;Casual;Indie;Strategy;Early Access,;English;Simplified Chinese;Traditional Chinese;Japanese;Spanish - Spain;Russian;French;German
501380,"UNCORPOREAL - ""Alcatraz Island Lofts""",Uncorporeal Systems,Uncorporeal Systems,"20 Jul, 2016",,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Free to Play;Indie,;English
1184500,YUKI,ARVORE Immersive Experiences,ARVORE Immersive Experiences,"22 Jul, 2021","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;roomscale,;Action;Adventure;Casual;Indie;Strategy,;English
568800,Summer times Afternoon,Accenthd,Accenthd,"23 Dec, 2016",¥798,,;valveindex;htc,;vr_input_motion,;roomscale,;Action;Adventure;Casual,;English;Simplified Chinese
1121190,Hold Your Ground,Krispy Browniez Studios,Krispy Browniez Studios,"13 Nov, 2019",Free,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Free to Play;Early Access,;English
1128210,Orion13,Metro VR Studios,Metro VR Studios,"13 Feb, 2020","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing,;Action;Adventure;Indie,;English
835140,0°N 0°W VR,Colorfiction,Colorfiction,"17 Aug, 2018",Free To Play,,;oculus,;controller;vr_input_kbm,;seated;standing,;Adventure;Casual;Indie,;English
557520,Torn,Aspyr,Aspyr,"28 Aug, 2018","¥3,090",,;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Adventure,;English;French;Italian;German;Spanish - Spain;Japanese;Korean
813930,Revoke,NEUN Games,NEUN Games,"25 Jul, 2018","¥2,050",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie;Early Access,;English;Simplified Chinese
669440,IKAROS,Studio Mori,Studio Mori,"2 Sep, 2017",Free to Play,,;valveindex;htc,;vr_input_motion,;roomscale,;Adventure;Free to Play;Indie,;English
899180,Voronium - Locust Sols,Gamalocus Studios,Gamalocus Studios,"16 Nov, 2018",¥310,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Indie;Strategy,;English
1002920,The Last Dinner,西安乐趣软件科技有限公司,西安乐趣软件科技有限公司,"10 Jan, 2019",Free,,;valveindex;htc,;vr_input_motion,;seated;standing,;Free to Play,;English;Simplified Chinese
847650,Virtual Reality Experiment Framework,Scott Howie,Scott Howie,"13 Jun, 2018",Free,,;valveindex;htc;windowsmr,;vr_input_motion,;standing;roomscale,;Free to Play;Simulation,;English
551320,Lord Darydikilkil,GaelDK,Infiniverse,"3 Nov, 2016",¥198,,;valveindex;htc;oculus,;controller,;seated,;Adventure;Casual;Indie,;English;French
510910,Temple of the Apsara,Attraction Studios,Attraction Studios,"6 Sep, 2016",¥198,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Adventure;Indie,;English
652830,Lost Legends: The Pharaoh's Tomb,Escape VR LLC,Escape VR LLC,"30 Jun, 2017",¥310,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Action;Indie,;English;French;Spanish - Spain
1485120,BoomBox,Cyberspline Games Inc,Cyberspline Games Inc,"11 Jun, 2021","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing,;Action;Casual;Sports,;English
510410,Cogs and Cowboys,MostWanted Game Development,MostWanted Game Development,"10 Aug, 2016",¥310,,;valveindex;htc,;vr_input_motion,;roomscale,;Action;Adventure;Early Access,;English
1096960,Amazing: A House In Kansas VR,Mad Man Games,Immersive-Games,"21 Jun, 2019",¥410,,;valveindex;htc;oculus,;vr_input_motion,;roomscale,;Adventure,;English
498600,MSI Electric City,Metanaut,MSI,"9 Aug, 2016",Free,,;valveindex;htc;oculus,;vr_input_kbm,;seated,;Adventure;Casual;Free to Play;Indie;Simulation,;English
699390,Knife Club,LiquidFire Entertainment,LiquidFire Entertainment,"9 Oct, 2017",¥620,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;roomscale,;Action;Indie;Early Access,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
495800,Flipside Studio,Flipside XR,Flipside XR,"25 Jun, 2020",Free,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Animation & Modeling;Video Production,;English
843390,Vertigo 2,Zach Tsiakalis-Brown,Zulubo Productions,Coming Soon,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie,;English
673060,Floor Plan: Hands-On Edition,Turbo Button,Turbo Button,"13 Sep, 2017",¥598,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;standing;roomscale,;Adventure;Indie,;English;French;German;Spanish - Spain;Japanese;Korean;Traditional Chinese
1019230,Mr.Hack Jack: Robot Detective,Donuts Co. Ltd.,Donuts Co. Ltd.,"10 May, 2019","¥1,650",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Adventure;Casual,;English;Japanese;German;Simplified Chinese;Spanish - Spain;Russian;French
1338140,Meditation Journey: VR Zen Garden,Jeff Perushek,Calming Winds Productions,"30 Jun, 2020","¥1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;Early Access,;English
555600,Hopalong: The Badlands,From the Future LLC,From the Future LLC,"21 Nov, 2017","¥1,520",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie,;English
1807480,Vertical Shift,Corrupted Media Productions,Corrupted Media Productions,"24 Dec, 2021",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Free to Play;Racing;Early Access,;English
1064080,Rhythm Defender,Gameplay Studio VR,Gameplay Studio VR,"14 May, 2019",¥520,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing,;Action;Casual;Indie;Sports;Early Access,;English
557670,Spooky Night,ClubHouseVR,ClubHouseVR,"14 Nov, 2016",Free,,;valveindex;htc;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Free to Play;Indie;Strategy,;English
553320,SYREN,Hammerhead VR,Hammerhead VR,"16 Feb, 2017","¥1,980",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action,;English
1098790,"Okay, Panic!",Outer Harbour,Outer Harbour,"10 Jul, 2019","¥1,010",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Casual;Indie,;English
893650,CSI VR: Crime Scene Investigation,GES_Games,GES_Games,"20 Jul, 2018",¥520,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Adventure;Indie;Simulation;Strategy;Early Access,;English;Arabic;Russian;Turkish
657780,Rome Circus Maximus: Chariot Race VR,Vicente Rosell Roig,Vicente Rosell Roig,"29 Sep, 2017",¥298,,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Racing,;English
1206960,Cloudlands 2,Futuretown,Futuretown,"17 Jan, 2020","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Casual;Sports,;English
639130,Ultrawings,"Bit Planet Games, LLC","Bit Planet Games, LLC","20 Jul, 2017","¥1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated,;Adventure;Simulation,;English;French;Italian;German;Spanish - Spain;Japanese;Portuguese - Brazil;Simplified Chinese
1308650,Axegend：Episode I,Subversion Squad Studio,Subversion Squad Studio,"16 Jun, 2020",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Casual;RPG;Strategy,;English;Simplified Chinese
623050,CyberClub-2077,Dalian Magical Storm Network Technology Co. Ltd.,Dalian Magical Storm Network Technology Co. Ltd.,"27 Sep, 2017",¥980,,;valveindex;htc,;vr_input_motion,;standing,;Casual;Simulation;Sports,;English;Japanese;Simplified Chinese;Traditional Chinese
